name,restaurant,phone,rating,unanswered_count,city
Delhi Darbaar Indiaas Restaurant 🇮🇳,Delhi Darbaar Indiaas Restaurant 🇮🇳,+31613533612,4.6,,Hilversum
Restaurant Lorenza,Restaurant Lorenza,+31356236217,4,,Hilversum
Brasserie Monsees | Puur Eten & De Lekkerste Wijnen,Brasserie Monsees | Puur Eten & De Lekkerste Wijnen,+31356561661,4.7,,s-Graveland
Bollie Blooper🍺,Bollie Blooper🍺,+31637116230,4.5,,s-Graveland
Cafetaria Noordereind,Cafetaria Noordereind,+31356560331,4.4,,s-Graveland
Bezoekerscentrum Gooi en Vechtstreek,Bezoekerscentrum Gooi en Vechtstreek,+31356563080,4.4,,s-Graveland
S&W Premium HealthClub,S&W Premium HealthClub,+31356935072,3.8,,BUSSUM
Restaurant De Smaacksteen Hilversum,Restaurant De Smaacksteen Hilversum,+31645856789,,,Hilversum
Café Tolhuis,Café Tolhuis,+31356214481,4.4,,Hilversum
Restaurant MIDO Hilversum,Restaurant MIDO Hilversum,+31353030191,4.6,,Hilversum
Krua Bangkok,Krua Bangkok,+31356246369,4.6,,Hilversum
Sees. Coffee & Conceptstore,Sees. Coffee & Conceptstore,+31357854789,4.6,,Hilversum
Snackline Gijsbrecht,Snackline Gijsbrecht,+31356210864,4.7,,Hilversum
Restaurant Vivaldi,Restaurant Vivaldi,+31356231341,4,,Hilversum
Restaurant Parc,Restaurant Parc,+31355337758,4.3,,Hilversum
Griekse delicatessen Siadaris,Griekse delicatessen Siadaris,+31356210120,4.9,,Hilversum
Studio Pasta,Studio Pasta,+31357370665,4.6,,Hilversum
Chiang Mai Hilversum,Chiang Mai Hilversum,+31356248191,4.7,,Hilversum
Gio Patat Zaak,Gio Patat Zaak,+31621858649,5,,Hilversum
De Gouden Garnaal,De Gouden Garnaal,+31648004788,4.3,,Hilversum
Ali Baba Grillroom,Ali Baba Grillroom,+31356238048,4.2,,Hilversum
KSP Kiosk Sportpark,KSP Kiosk Sportpark,+31357505569,4.2,,Hilversum
Family Fried Chicken,Family Fried Chicken,+31357722010,4.1,,Hilversum
Aartiroti Hilversum,Aartiroti Hilversum,+31357734888,2.7,,Hilversum
Chick'n Box Hilversum,Chick'n Box Hilversum,+31628085020,,,Hilversum
Ciao pizzeria,Ciao pizzeria,+31356239350,3.8,,Hilversum
Johnny's Burger & O'Tacos,Johnny's Burger & O'Tacos,+31352053420,3.4,,Hilversum
New York Pizza,New York Pizza,+31356288662,2.9,,Hilversum
A27 cafe,A27 cafe,+31356228160,4.1,,Hilversum
Restaurant Chef aan de Werf,Restaurant Chef aan de Werf,+31356315412,4.6,,Hilversum
Adamo Pizzeria,Adamo Pizzeria,+31686462257,4.6,,Hilversum
Gerdine's Gezond & Gezellig,Gerdine's Gezond & Gezellig,+31651112016,5,,Hilversum
Deliverrib Hilversum,Deliverrib Hilversum,+31633339287,4.7,,Hilversum
Sportcafe de Lieberg Hilversum,Sportcafe de Lieberg Hilversum,+31654787444,3.3,,Hilversum
Snackbar 't Kamrad,Snackbar 't Kamrad,+31356830461,4.5,,Hilversum
Foodmaster Hilversum,Foodmaster Hilversum,+31356859390,4,,Hilversum
Pizzeria Nefertiti,Pizzeria Nefertiti,+31356835881,4.1,,Hilversum
Burger Kitchen,Burger Kitchen,+31352200059,3,,Hilversum
Indian Barbecue Restaurant 🇮🇳,Indian Barbecue Restaurant 🇮🇳,+31352033150,4.7,,Hilversum
new Tio Rico,new Tio Rico,+31356423888,4.1,,Hilversum
Meiwei Time,Meiwei Time,+31357722918,4.6,,Hilversum
Aspendos 🇹🇷,Aspendos 🇹🇷,+31627342154,4.5,,Hilversum
Snackbar Ley🍟,Snackbar Ley🍟,+31356838785,4.6,,Hilversum
Pizzeria A'livella,Pizzeria A'livella,+31357858540,4.5,,Hilversum
HS RolingAutomatiek,HS RolingAutomatiek,+31356857827,3.9,,Hilversum
Snackbar Jumbo,Snackbar Jumbo,+31356857568,3.9,,Hilversum
